George Miller, The Road Warrior (1981)
Nancy Meyers, What Women Want (2000)
James Camero, Aliens (1986) 
Olivier Megaton, Colombiana (2011)
James Carmeron, The Terminator (1984)
James Cameron, Avatar: The Way of Water (2022)
James Cameron, Terminator 2: Judgment Day (1991)
John Moore, Behind Enemy Lines (2001) 
John Moore, Die Hard (1988) 
Billy Wilder, Some Like It Hot (1959)
Billy Wilder, The Seven Year Itch (1955)
Jean Negulesco, How To Marry a Millionaire (1953)
Jean Negulesco, Three Coins in the Fountain (1954)
Robert Ellis Miller, Any Wednesday (1966) 
Francis Ford Coppola, The Godfather (1972)
Blake Edwards, Breakfast at Tiffany’s (1961)
Francis Ford Coppola, Apocalypse Now (1979)
Blake Edwards, A Shot in the Dark (1964)
Blake Edwards, The Pink Panther (1963)
Oliver Stone, Wall Street (1987)
Bong Joon-ho, The Host (2006)
Bong Joon-Ho, Parasite (2019)
Andres Muscietti, It (2017)
Ruben Fleischer, Zombieland (2009)
Ruben Fleischer, Venom (2018)
Jonathan English, Minotaur (2006)
Jonathan English, Ironclad (2011)
Ben Wheatley, Meg (2018)
F. Gary Gray, The Fate of the Furious (2017)
Rawson Marshall Thurber, Skyscraper (2018)
Brian De Palma, Mission Impossible (1996)
Brian De Palma, Mission to Mars (2000)
Patrick Wilson, Insidious: The Red Door (2023)
Nick Cassavetes, Crazy, Stupid, Love (2011) 
Garry Marshall, Pretty Woman (1990)
Garry Marshall, Runaway Bride (1999)
Amy Heckerling, Clueless (1995)
Marco Brambilla, Excess Baggage (1997) 
Richard Curtis, Love Actually (2003)
David Hand, Snow White and the Seven Dwarfs (1937)
William Cotrell, Snow White and the Seven Dwarfs (1937)
James Algar, Fantasia (1940)
Wilfred Jackson, Fantasia (1940)
Gary Trousdale, Beauty and the Beast (1991)
Kirk Wise, Beauty and the Beast (1991)
Kenneth Branagh, Cinderella (2015)
Josh Cooley, Toy Story (1995)
John Lasseter, Toy Story (1995)
